Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,Vehicle Images
0.097916667,CNR1557960488,Driver Not Found,CID884386,Prime SUV,Rajarajeshwari Nagar,Varthur,,,,,,,162,,0,,,
0.114583333,CNR9758857830,Success,CID528642,Prime Plus,HSR Layout,Magadi Road,308,70,,,No,,618,UPI,30,3.5,3.7,
0.178472222,CNR8080410192,Success,CID416746,eBike,Jayanagar,JP Nagar,91,120,,,No,,251,UPI,9,5,4.4,
0.102083333,CNR1648186942,Canceled by Driver,CID713303,Bike,Hennur,Padmanabhanagar,,,,More than permitted people in there,,,543,,0,,,
0.45625,CNR2433490646,Success,CID954071,Mini,Hennur,Chamarajpet,35,115,,,No,,724,Cash,11,4.5,4.8,
0.025694444,CNR7825941026,Success,CID234007,Mini,Marathahalli,Langford Town,196,80,,,No,,316,UPI,27,3.1,4.7,
0.547222222,CNR9148580255,Success,CID164393,Prime SUV,Tumkur Road,Magadi Road,224,60,,,No,,138,UPI,24,5,3,
0.30625,CNR2946309760,Success,CID984343,Prime Plus,Hosur Road,Hennur,280,55,,,No,,467,Cash,24,4.5,4.2,
0.436805556,CNR3472489570,Driver Not Found,CID621402,Prime SUV,Electronic City,Marathahalli,,,,,,,565,,0,,,
0.705555556,CNR1768885472,Canceled by Driver,CID130993,Prime SUV,Basavanagudi,Padmanabhanagar,,,,More than permitted people in there,,,276,,0,,,
0.054166667,CNR7486448495,Success,CID931462,Auto,Ulsoor,Padmanabhanagar,63,65,,,No,,296,UPI,5,4,4.3,
0.647222222,CNR2735636504,Driver Not Found,CID111173,Prime SUV,Cox Town,Chamarajpet,,,,,,,1310,,0,,,
0.720138889,CNR7533317866,Canceled by Customer,CID867762,Mini,Shantinagar,Hulimavu,,,AC is Not working,,,,771,,0,,,
0.121527778,CNR5758479139,Success,CID805528,Prime Sedan,RT Nagar,Chickpet,42,25,,,No,,279,Cash,43,4.3,3.4,
0.683333333,CNR8021985469,Success,CID604351,Mini,Hosur Road,Kadugodi,308,145,,,No,,321,Cash,39,3.3,4.7,
0.830555556,CNR3800597072,Success,CID386103,Mini,JP Nagar,Chickpet,189,35,,,No,,457,Cash,1,4.1,3.4,
0.579861111,CNR6179425512,Success,CID607886,Mini,Bannerghatta Road,Basavanagudi,217,45,,,No,,139,Cash,45,4.9,3.8,
0.819444444,CNR7924302885,Success,CID517661,Auto,Magadi Road,Nagarbhavi,168,140,,,Yes,Customer Demand,685,UPI,7,4.1,4.9,
0.888194444,CNR7181374756,Canceled by Driver,CID700952,Auto,Devanahalli,Kammanahalli,,,,More than permitted people in there,,,150,,0,,,
0.552083333,CNR2830899440,Success,CID808607,Mini,Kadugodi,Frazer Town,133,90,,,No,,196,UPI,21,4.3,3.4,
0.484027778,CNR7592165192,Canceled by Driver,CID863704,Prime SUV,Rajarajeshwari Nagar,HSR Layout,,,,Personal & Car related issue,,,424,,0,,,
0.902777778,CNR6077524333,Canceled by Driver,CID708519,Prime SUV,Chickpet,Shantinagar,,,,More than permitted people in there,,,827,,0,,,
0.177083333,CNR8854206454,Success,CID932765,eBike,Langford Town,Kadugodi,301,115,,,No,,770,Cash,27,3.3,4.3,
0.3125,CNR6387231274,Driver Not Found,CID686160,Prime Sedan,Bannerghatta Road,Indiranagar,,,,,,,325,,0,,,
0.613194444,CNR6215530366,Success,CID713821,eBike,Devanahalli,Jayanagar,161,25,,,No,,986,Cash,18,4.6,4.8,
0.622222222,CNR4314026109,Success,CID259573,Prime SUV,Tumkur Road,Bannerghatta Road,266,115,,,No,,2208,Cash,40,4,4.5,
0.829861111,CNR9027465661,Success,CID737388,Prime Sedan,BTM Layout,Majestic,168,30,,,No,,1695,UPI,20,4.5,4.7,
0.456944444,CNR5003494701,Canceled by Driver,CID761134,Mini,Sarjapur Road,Majestic,,,,Customer related issue,,,305,,0,,,
0.3875,CNR2064658821,Success,CID954441,Bike,Peenya,Devanahalli,63,105,,,No,,2271,Cash,37,3.4,4.2,
0.055555556,CNR9704400677,Success,CID974657,Mini,Langford Town,Vijayanagar,287,95,,,No,,482,Cash,37,4.4,3.9,
0.475694444,CNR8836460204,Success,CID716037,eBike,Bellandur,Shantinagar,252,45,,,No,,536,UPI,17,3.9,4.4,
0.447222222,CNR3697318609,Success,CID915228,Bike,Sarjapur Road,Chickpet,287,100,,,No,,188,UPI,37,4.9,4.1,
0.761805556,CNR6541289543,Canceled by Driver,CID656539,Prime SUV,Frazer Town,Whitefield,,,,Customer related issue,,,202,,0,,,
0.2875,CNR8369601219,Canceled by Driver,CID581505,Prime SUV,Richmond Town,Jayanagar,,,,Customer related issue,,,1609,,0,,,
0.014583333,CNR8346388703,Canceled by Driver,CID680143,Mini,Magadi Road,BTM Layout,,,,Personal & Car related issue,,,1821,,0,,,
0.402083333,CNR4445082348,Success,CID336831,Mini,Yelahanka,BTM Layout,42,40,,,No,,415,UPI,22,3.6,3.1,
0.254166667,CNR5528764313,Success,CID808205,Prime SUV,Ramamurthy Nagar,Bannerghatta Road,308,145,,,No,,2125,UPI,6,3.8,4.6,
0.627777778,CNR3967141568,Canceled by Driver,CID163765,Auto,Padmanabhanagar,Ramamurthy Nagar,,,,Customer related issue,,,758,,0,,,
0.413194444,CNR7054352438,Driver Not Found,CID270321,Mini,Hennur,Cox Town,,,,,,,653,,0,,,
0.535416667,CNR1640228587,Success,CID190281,Prime Sedan,Kengeri,Mysore Road,168,135,,,Yes,Other Issue,704,Cash,42,4.7,4.8,
0.2,CNR6684033796,Success,CID352268,Auto,Indiranagar,Whitefield,84,105,,,No,,385,Cash,19,4.1,3.7,
0.210416667,CNR4158584922,Success,CID772392,Auto,Sahakar Nagar,Ramamurthy Nagar,35,45,,,No,,934,UPI,12,3.3,5,
0.167361111,CNR5133236273,Canceled by Driver,CID905849,Prime Plus,Banashankari,Chickpet,,,,Customer related issue,,,615,,0,,,
0.348611111,CNR5661490576,Success,CID546076,Bike,Magadi Road,Electronic City,56,30,,,No,,2202,Cash,44,4.7,3.4,
0.525,CNR2304446757,Success,CID432144,eBike,Rajarajeshwari Nagar,MG Road,252,145,,,No,,205,Cash,43,4.1,3.1,
0.347916667,CNR1559782157,Success,CID906966,Auto,Ulsoor,Bellandur,182,50,,,No,,247,Cash,8,3.1,3.3,
0.330555556,CNR2098165198,Success,CID619972,Prime Sedan,Yelahanka,Ramamurthy Nagar,217,55,,,No,,291,UPI,5,3.8,3.3,
0.188888889,CNR5502012579,Success,CID748475,Mini,Vijayanagar,Kengeri,56,110,,,No,,925,Cash,22,3,4,
0.915277778,CNR4698965967,Success,CID529347,Prime Sedan,Ramamurthy Nagar,Chickpet,280,30,,,No,,121,Cash,44,3.8,4.5,
0.134027778,CNR8566688320,Driver Not Found,CID175878,Bike,Chickpet,Shivajinagar,,,,,,,404,,0,,,
0.530555556,CNR8014852782,Canceled by Customer,CID737119,Prime Plus,Kammanahalli,Magadi Road,,,Change of plans,,,,223,,0,,,
0.354861111,CNR6012739836,Driver Not Found,CID308763,Prime Sedan,Ramamurthy Nagar,Magadi Road,,,,,,,2989,,0,,,
0.459027778,CNR3404012927,Success,CID344186,Mini,Chickpet,Chamarajpet,63,130,,,No,,728,Cash,14,4.3,5,
0.451388889,CNR9282027845,Success,CID767941,Bike,Yeshwanthpur,KR Puram,210,85,,,No,,2416,UPI,49,3.1,3.8,
0.418055556,CNR5508853708,Canceled by Customer,CID812594,Prime Plus,Shivajinagar,HSR Layout,,,Driver is not moving towards pickup location,,,,371,,0,,,
0.775,CNR4241139229,Success,CID133723,Prime Plus,Kammanahalli,Shivajinagar,203,25,,,No,,258,Cash,32,4.7,4.1,
0.991666667,CNR8306274838,Driver Not Found,CID117206,Bike,Bellandur,Rajarajeshwari Nagar,,,,,,,170,,0,,,
0.642361111,CNR1903850514,Canceled by Customer,CID126419,eBike,Mysore Road,Vijayanagar,,,Driver asked to cancel,,,,151,,0,,,
0.876388889,CNR1852948877,Canceled by Driver,CID953990,Prime Sedan,Yelahanka,Majestic,,,,Customer related issue,,,425,,0,,,
0.146527778,CNR5744401218,Success,CID507511,Bike,Yelahanka,Varthur,91,25,,,No,,220,UPI,2,3.4,3.1,
0.427083333,CNR7221640450,Success,CID195611,Prime Sedan,RT Nagar,Whitefield,301,145,,,No,,472,UPI,16,3.3,4.5,
0.935416667,CNR8395803905,Canceled by Driver,CID925776,eBike,Bannerghatta Road,RT Nagar,,,,Customer related issue,,,616,,0,,,
0.388888889,CNR3750351374,Success,CID524066,Prime SUV,Mysore Road,Peenya,42,130,,,No,,473,Cash,49,4,4.2,
0.759027778,CNR2869164142,Success,CID884352,Prime SUV,BTM Layout,Malleshwaram,126,115,,,No,,259,Cash,11,4.8,4.5,
0.498611111,CNR8303547069,Success,CID471469,Mini,Langford Town,Richmond Town,77,35,,,No,,310,Credit Card,2,3.3,3.1,
0.897222222,CNR7368110421,Canceled by Driver,CID372218,Mini,Peenya,Sarjapur Road,,,,Personal & Car related issue,,,200,,0,,,
0.426388889,CNR7500310853,Success,CID377809,Prime Sedan,Jayanagar,Richmond Town,189,85,,,No,,471,UPI,39,3.5,3.7,
0.890972222,CNR8925319975,Success,CID388701,Prime Sedan,Yelahanka,Rajajinagar,287,125,,,No,,442,UPI,37,4.1,4.5,
0.392361111,CNR3165383119,Canceled by Driver,CID765484,Prime SUV,Devanahalli,KR Puram,,,,Customer was coughing/sick,,,232,,0,,,
0.96875,CNR7006798592,Driver Not Found,CID786658,Prime Sedan,Ulsoor,RT Nagar,,,,,,,344,,0,,,
0.327777778,CNR5613886410,Success,CID107686,Auto,Marathahalli,KR Puram,266,65,,,No,,2604,UPI,10,3.8,4.1,
0.202777778,CNR5841521780,Success,CID768996,Prime SUV,Ramamurthy Nagar,Varthur,210,120,,,No,,274,Cash,37,3.1,3.6,
0.546527778,CNR1281921513,Canceled by Customer,CID163474,Mini,Malleshwaram,Magadi Road,,,Driver is not moving towards pickup location,,,,895,,0,,,
0.670138889,CNR2959980296,Success,CID509309,Bike,Hosur Road,Richmond Town,91,60,,,No,,279,Cash,34,4.5,3.2,
0.980555556,CNR6765124275,Success,CID630281,Prime Sedan,Chamarajpet,Banashankari,294,45,,,No,,1946,Cash,16,3,3.5,
0.182638889,CNR9762994658,Success,CID443169,Prime Plus,RT Nagar,Sahakar Nagar,231,65,,,No,,1024,UPI,4,4.8,4.1,
0.35625,CNR2177201692,Success,CID614111,Mini,Richmond Town,Yeshwanthpur,105,145,,,No,,200,Cash,31,4.9,4,
0.431944444,CNR5755482161,Canceled by Driver,CID126097,Prime SUV,Koramangala,Indiranagar,,,,Customer was coughing/sick,,,152,,0,,,
0.46875,CNR4484571820,Success,CID645793,Auto,HSR Layout,Hosur Road,133,145,,,No,,2388,Cash,4,4.4,3.6,
0.273611111,CNR7377461832,Success,CID719814,eBike,Ulsoor,Padmanabhanagar,77,100,,,No,,783,Cash,37,3.5,3.5,
0.872222222,CNR2363111317,Driver Not Found,CID665310,Prime Plus,Electronic City,KR Puram,,,,,,,208,,0,,,
0.311111111,CNR2976802436,Success,CID592039,Prime SUV,Tumkur Road,Cox Town,168,50,,,No,,1181,UPI,10,3.4,4.9,
0.145138889,CNR8474873609,Canceled by Customer,CID968838,Prime Plus,HSR Layout,KR Puram,,,Change of plans,,,,843,,0,,,
0.578472222,CNR1945536909,Success,CID796614,Auto,Sahakar Nagar,JP Nagar,224,80,,,No,,441,Cash,7,3,3.1,
0.084722222,CNR8097291227,Success,CID734844,Prime Plus,Mysore Road,Rajajinagar,238,25,,,No,,332,UPI,38,3.8,3.4,
0.681944444,CNR1433815646,Success,CID307267,Prime SUV,Banashankari,Marathahalli,42,65,,,No,,832,Cash,11,3.4,4.1,
0.290277778,CNR5876056264,Success,CID568720,Prime SUV,Kadugodi,Shantinagar,231,30,,,No,,1361,UPI,47,4,3.9,
0.907638889,CNR2943788515,Canceled by Driver,CID627311,Bike,Shantinagar,Ramamurthy Nagar,,,,More than permitted people in there,,,415,,0,,,
0.295833333,CNR5599931622,Success,CID822709,Prime SUV,Peenya,Frazer Town,42,55,,,No,,747,Cash,28,3.8,3,
0.079166667,CNR6776927575,Success,CID817693,Bike,Hosur Road,Nagarbhavi,245,55,,,No,,129,Cash,5,4.4,4.2,
0.776388889,CNR4880622143,Success,CID602848,eBike,Rajajinagar,Kammanahalli,98,100,,,No,,296,UPI,34,3.3,4.2,
0.619444444,CNR2747846957,Success,CID700413,Prime Sedan,Majestic,Malleshwaram,308,140,,,No,,896,UPI,45,4,4.1,
0.416666667,CNR6662649739,Success,CID295666,Auto,Ramamurthy Nagar,Banashankari,189,35,,,No,,940,Debit Card,7,3.2,3.5,
0.394444444,CNR2524442918,Success,CID471692,Prime Plus,Hulimavu,RT Nagar,98,140,,,No,,729,Credit Card,13,4.5,5,
0.425,CNR4977956798,Success,CID782900,Auto,Banashankari,Sarjapur Road,189,45,,,No,,128,Cash,1,4.6,4.8,
0.629861111,CNR2002215420,Success,CID109502,Prime SUV,Whitefield,BTM Layout,77,75,,,No,,274,Cash,42,4,3.4,
0.218055556,CNR3124565731,Success,CID578023,Auto,Basavanagudi,Chickpet,189,55,,,No,,238,UPI,6,4.5,3,
0.481944444,CNR6090870401,Success,CID301446,Prime SUV,Ramamurthy Nagar,KR Puram,280,30,,,No,,477,Cash,19,4.1,4.3,
0.651388889,CNR9405757355,Success,CID176162,Auto,Richmond Town,Banashankari,196,145,,,No,,186,UPI,15,4.7,4.6,
0.496527778,CNR7078608984,Driver Not Found,CID926832,eBike,Shantinagar,Hebbal,,,,,,,117,,0,,,
0.786111111,CNR4166475803,Success,CID615978,Prime SUV,Banashankari,Yelahanka,168,90,,,No,,193,UPI,13,3.8,3.2,
0.695833333,CNR7307808711,Success,CID928859,Prime SUV,MG Road,BTM Layout,147,75,,,No,,857,Cash,45,4.7,4,
0.950694444,CNR9207534980,Canceled by Driver,CID926602,Prime Plus,Whitefield,Kammanahalli,,,,Customer related issue,,,819,,0,,,
0.427777778,CNR8478607960,Success,CID374876,Prime Sedan,Shivajinagar,BTM Layout,35,45,,,No,,484,UPI,16,4.1,4.5,
0.368055556,CNR6867991693,Success,CID139968,Prime Plus,Bellandur,Indiranagar,84,70,,,No,,648,Cash,3,4.9,4.8,
0.076388889,CNR6026842144,Success,CID533256,Prime SUV,Bannerghatta Road,Padmanabhanagar,70,140,,,No,,232,Credit Card,28,4.3,4.7,
0.361805556,CNR1373400641,Canceled by Driver,CID137733,Mini,Shivajinagar,Kadugodi,,,,More than permitted people in there,,,478,,0,,,
0.209027778,CNR7756361076,Canceled by Driver,CID843494,Auto,Koramangala,Hebbal,,,,Customer was coughing/sick,,,850,,0,,,
0.026388889,CNR1058833099,Success,CID705304,Bike,Frazer Town,Jayanagar,294,75,,,No,,673,Cash,25,4.1,3.6,
0.531944444,CNR8150133799,Driver Not Found,CID406881,eBike,Chickpet,HSR Layout,,,,,,,315,,0,,,
0.007638889,CNR3136784868,Success,CID703583,Prime SUV,Shivajinagar,Indiranagar,63,125,,,No,,1033,Cash,2,4.1,3.6,
0.1625,CNR2919641369,Canceled by Customer,CID137586,Prime SUV,Tumkur Road,Langford Town,,,Driver is not moving towards pickup location,,,,825,,0,,,
0.992361111,CNR4311649934,Canceled by Customer,CID379072,Prime SUV,Sahakar Nagar,Hosur Road,,,Wrong Address,,,,213,,0,,,
0.005555556,CNR7844432925,Success,CID635965,Prime SUV,Electronic City,KR Puram,280,80,,,No,,362,Cash,36,4.1,4.6,
0.700694444,CNR3149119791,Success,CID606573,Mini,Hebbal,Ulsoor,224,50,,,No,,471,Credit Card,22,3.5,3.3,
0.927083333,CNR6545513695,Success,CID932866,Prime SUV,Kengeri,Devanahalli,252,125,,,No,,163,UPI,23,4.3,4.3,
0.133333333,CNR6427297269,Success,CID418039,Mini,Shivajinagar,KR Puram,56,140,,,No,,142,Cash,6,3.8,3.6,
0.159027778,CNR1684336791,Canceled by Customer,CID339379,Prime Plus,HSR Layout,Kengeri,,,AC is Not working,,,,451,,0,,,
0.390972222,CNR8107628541,Canceled by Customer,CID131079,Prime SUV,Peenya,Kadugodi,,,Driver is not moving towards pickup location,,,,358,,0,,,
0.761111111,CNR8516392891,Success,CID214348,Prime Sedan,Shivajinagar,Kadugodi,308,60,,,No,,365,Cash,36,4.9,4,
0.526388889,CNR5043217856,Canceled by Driver,CID298396,Auto,Sarjapur Road,Chamarajpet,,,,Personal & Car related issue,,,752,,0,,,
0.735416667,CNR7829903493,Canceled by Driver,CID459892,eBike,Indiranagar,Kammanahalli,,,,Customer was coughing/sick,,,531,,0,,,
0.952083333,CNR4290294193,Canceled by Driver,CID451045,Auto,Richmond Town,Sahakar Nagar,,,,Customer was coughing/sick,,,111,,0,,,
0.734027778,CNR4330381266,Success,CID215319,Auto,Banashankari,Rajarajeshwari Nagar,168,135,,,No,,216,UPI,5,4.4,4.3,
0.285416667,CNR4211386643,Canceled by Driver,CID351096,eBike,RT Nagar,HSR Layout,,,,Customer related issue,,,433,,0,,,
0.006944444,CNR5043719137,Success,CID638458,Mini,Banashankari,Kammanahalli,98,50,,,No,,159,UPI,40,4,4.7,
0.688194444,CNR2332223815,Success,CID557188,Mini,Whitefield,Ramamurthy Nagar,70,85,,,No,,556,UPI,27,5,3.2,
0.954166667,CNR2051641681,Success,CID776786,Auto,Ulsoor,Kadugodi,294,65,,,No,,295,Cash,6,3.5,3.2,
0.957638889,CNR6561084640,Success,CID983895,Bike,Kengeri,Magadi Road,301,110,,,No,,330,Cash,27,4,4.1,
0.770138889,CNR8606343558,Success,CID193075,Bike,Kadugodi,Yeshwanthpur,63,95,,,No,,187,UPI,34,4.9,3.8,
0.452777778,CNR6129451090,Success,CID579290,Prime Sedan,Shantinagar,Bannerghatta Road,84,145,,,No,,487,Cash,9,3.6,3.8,
0.971527778,CNR8991153488,Canceled by Driver,CID563608,eBike,Vijayanagar,Kadugodi,,,,Personal & Car related issue,,,426,,0,,,
0.344444444,CNR3555127202,Success,CID334563,Auto,Koramangala,Varthur,105,40,,,No,,229,Cash,15,4.6,5,
0.754166667,CNR2478670622,Success,CID381271,Prime Plus,Hennur,Hosur Road,154,130,,,No,,445,UPI,48,4.9,4.6,
0.509027778,CNR2637746164,Success,CID131513,Auto,Hebbal,Majestic,182,70,,,No,,134,Cash,8,3.3,4,
0.438888889,CNR1098685369,Success,CID366678,Auto,Basavanagudi,Nagarbhavi,154,145,,,No,,119,Cash,9,4.2,4,
0.386805556,CNR6731320458,Success,CID470881,Prime Sedan,Hosur Road,Koramangala,77,25,,,No,,113,Cash,14,4.9,3.6,
0.858333333,CNR5683291566,Success,CID221217,Prime SUV,Sahakar Nagar,Indiranagar,119,25,,,No,,545,UPI,6,3.3,4.9,
0.436111111,CNR9411398805,Success,CID416695,Prime Plus,Padmanabhanagar,RT Nagar,287,95,,,No,,498,Cash,11,3.2,4.3,
0.072222222,CNR6774178719,Success,CID902361,eBike,KR Puram,Marathahalli,105,35,,,No,,304,Cash,28,3.6,3,
0.548611111,CNR4046969463,Canceled by Driver,CID788327,Prime Plus,Koramangala,Devanahalli,,,,Personal & Car related issue,,,318,,0,,,
0.890277778,CNR4475747544,Success,CID337010,Prime Sedan,Chickpet,Langford Town,259,95,,,No,,130,Cash,18,3.1,4.9,
0.692361111,CNR5165798104,Success,CID831932,Bike,Bannerghatta Road,Koramangala,189,75,,,No,,419,Cash,12,4.7,4.2,
0.635416667,CNR4392965412,Canceled by Driver,CID966732,Prime SUV,Kammanahalli,Richmond Town,,,,Customer related issue,,,399,,0,,,
0.8125,CNR1167401662,Driver Not Found,CID981323,Mini,JP Nagar,Hulimavu,,,,,,,2900,,0,,,
0.485416667,CNR2822610940,Success,CID301559,Bike,Mysore Road,Yelahanka,168,70,,,No,,121,Cash,31,4.2,3.1,
0.046527778,CNR6691577601,Success,CID983207,Prime Sedan,MG Road,RT Nagar,189,90,,,No,,107,UPI,27,3.5,3.3,
0.88125,CNR9445908039,Canceled by Customer,CID921864,Mini,Hosur Road,Banashankari,,,Driver is not moving towards pickup location,,,,424,,0,,,
0.856944444,CNR3423157511,Canceled by Driver,CID704228,Bike,Electronic City,Nagarbhavi,,,,Customer was coughing/sick,,,307,,0,,,
